薪资,福利,工作年限,工作标签,学历,城市,公司名称
本科,上海汇翼信息科技有限公司,杭州,3-5年,阿里云、团队优秀、定位明确,"['脚本', 'Selenium', '自动化测试']",15k-30k
大专,北京昱新科技有限公司,北京,3-5年,五险一金，带薪年假，福利多多，晋升空间大,"['教育', '自动化测试']",15k-25k
本科,北京默契破冰科技有限公司,北京,3-5年,"七险一金,免费午餐,弹性不打卡,季度旅游","['测试', '自动化']",15k-25k
本科,北京读我科技有限公司,北京,3-5年,产品好、福利好,"['自动化', '测试开发']",30k-50k
本科,北京梧桐车联科技有限责任公司,北京,3-5年,地铁周边、带薪年假、扁平管理、不打卡,"['测试', '自动化']",20k-40k
本科,北京瑞莱智慧科技有限公司,北京,1-3年,发展前景、朝阳行业,"['自动化', '测试开发', '测试']",10k-15k
本科,深圳航天智慧城市系统技术研究院有限公司,深圳,1-3年,"五险一金,股权收益,高温补贴,企业培训","['地图', '大数据', '自动化', '性能测试']",10k-20k
本科,成都冰鉴信息科技有限公司,南京,1-3年,"金融高科技,新兴领域,发展空间大",['自动化'],8k-14k
本科,空中云汇（上海）网络科技有限公司,上海,3-5年,高速成长型公司,['自动化'],25k-35k
本科,上海微创软件股份有限公司,上海,3-5年,福利待遇好、发展空间大,"['汽车', '自动化测试']",15k-20k
大专,青岛易联万家科技有限公司南京分公司,南京,1-3年,五险一金，三节福利，不定期团建,[],8k-11k
本科,凡普金科集团有限公司,北京,5-10年,发展空间，团队成员背景，学习氛围,"['测试开发', '自动化', '测试']",18k-30k
本科,精硕科技（北京）股份有限公司,上海,3-5年,扁平管理 行业领先 氛围轻松,"['测试', 'Selenium', '自动化']",15k-25k
本科,深圳市天杭科技有限公司,深圳,3-5年,福利待遇好、区块链,['自动化'],10k-20k
学历,公司名称,城市,工作年限,福利,工作标签,薪资
本科,北京默契破冰科技有限公司,北京,1-3年,七险一金、弹性不打卡、免费午餐、季度旅游,"['社交', '移动互联网', 'Selenium', '自动化测试', 'Loadrunner', '移动端']",10k-20k
本科,上海微创软件股份有限公司,上海,1-3年,人工智能、平台好,"['自动化测试', '脚本', '性能测试', '测试开发']",10k-20k
本科,上海欢兽实业有限公司,上海,3-5年,"扁平化管理,平台大,奖金多,15薪","['电商', '自动化测试', '测试开发', 'app测试']",19k-28k
本科,深圳复临信息科技有限公司,深圳,3-5年,五险一金 周末双休 年度体检 下午茶,"['自动化', 'Selenium', '自动化测试']",18k-25k
本科,杭州顶天网络有限公司,杭州,1-3年,"海量用户,Top20,全员持股","['产品测试', 'app测试', '自动化']",10k-18k
本科,珠海随变科技有限公司,北京,5-10年,"盈利平台,首家C2M,技术分享,活跃团队","['电商', '自动化', '测试开发', '性能测试']",15k-30k
本科,深圳市万普拉斯科技有限公司,深圳,1-3年,弹性工作 开放氛围 发展机会,"['自动化', '测试', 'Android测试']",10k-18k
本科,浙江海高控股集团有限公司,杭州,1-3年,加班少 待遇好,"['测试', '自动化', 'Selenium']",10k-15k
本科,广州钛动科技有限公司,广州,1-3年,"福利好,领导好,上升空间,快速成长","['移动互联网', '测试开发', '自动化', '自动化测试']",11k-18k
本科,信必优(深圳)信息技术有限公司,深圳,3-5年,世界500强 外企 大牛多 有前途,"['新零售', '企业服务', '脚本', 'Selenium', 'app测试', 'Web测试']",12k-15k
本科,北京微聚未来科技有限公司,北京,3-5年,"牛人团队,带薪年假,16薪考核,快速成长","['自动化', '白盒测试']",15k-30k
本科,四川倍施特科技股份有限公司,成都,3-5年,"社会保险,住房公积金,年终奖,团队活动","['自动化', '性能测试', '功能测试']",9k-14k
本科,慧博云通（江苏）软件技术有限公司,广州,5-10年,不加班，假期多，平台大，领导nice,"['Server端测试', '性能测试', '测试开发', '自动化']",15k-25k
本科,拼途（北京）信息技术有限公司,北京,1-3年,福利第一 老板好,"['汽车', '测试', '自动化']",8k-15k
本科,爱海企业管理咨询（上海）有限公司,上海,1-3年,"发展好,福利好,氛围好,环境好","['测试', '性能测试', '自动化测试']",10k-20k
学历,公司名称,城市,工作年限,福利,工作标签,薪资
本科,凡普金科集团有限公司,北京,5-10年,六险一金，早10晚7，技术氛围好,"['测试', '自动化']",20k-30k
本科,深圳法大大网络科技有限公司,深圳,3-5年,"学习型组织,氛围好,高速发展,独角兽","['移动互联网', 'Web测试', '自动化']",10k-16k
本科,金蝶软件（中国）有限公司,深圳,5-10年,大平台发展机遇广福利待遇好团队氛围好,['自动化'],10k-20k
本科,上海元笛软件有限公司,上海,1-3年,福利待遇好,"['自动化', '自动化测试']",7k-12k
大专,上海贝锐信息科技股份有限公司,上海,3-5年,"福利多多,晋升空间大,部门牛人多",['测试'],10k-15k
本科,奥解思信息科技（上海）有限公司,上海,1-3年,外企公司 弹性工时,"['Selenium', '自动化', '脚本', '测试开发']",15k-19k
本科,深圳蓝贝科技有限公司,深圳,1-3年,年终奖；团队,"['自动化', '测试']",14k-18k
本科,厦门市节点科技集团有限公司,厦门,5-10年,"五险一金,年底双薪,带薪年假,股票期权","['自动化', '性能测试']",15k-21k
本科,北京市商汤科技开发有限公司,北京,3-5年,弹性工作，五险一金，大牛带队,"['移动互联网', '测试', '自动化']",15k-30k
本科,交银企业管理服务（上海）有限公司张江高科技园区分公司,上海,5-10年,年终奖金 补充医疗 饭贴 绩效奖金,"['测试', 'Loadrunner', 'Jmeter', '自动化']",15k-25k
本科,北京永洪商智科技有限公司,北京,3-5年,技术大牛，年底奖金丰厚，弹性工作,[],12k-16k
本科,浙江海高控股集团有限公司,杭州,1-3年,双休，六险一金，福利好，年底双薪,"['自动化', '自动化测试', 'Selenium', '脚本测试']",8k-15k
本科,深圳前海亚农产业链科技有限公司,深圳,3-5年,薪资高 老板nice,['测试'],12k-20k
本科,上海启日信息技术有限公司,上海,3-5年,扁平化管理 朝阳企业 福利健全,['自动化测试'],15k-22k
本科,泰康保险集团股份有限公司,武汉,1-3年,免费班车，五险一金，健身房游泳池，,['测试'],8k-12k
学历,公司名称,城市,工作年限,福利,工作标签,薪资
本科,奥解思信息科技（上海）有限公司,上海,3-5年,外企工作环境，弹性工作制，薪资open。,"['Selenium', '自动化', '脚本', '自动化测试']",15k-20k
本科,西安卓派信息科技有限公司,西安,3-5年,赴美工作，H1B签证。,"['工具软件', '移动互联网', '测试']",15k-18k
本科,瞬联软件科技（北京）有限公司,上海,不限,六险一金 带薪假期 弹性工作 外企氛围,"['自动化', '功能测试', '性能测试', '脚本']",8k-10k
本科,浙江网新恒天软件有限公司,杭州,1-3年,六险一金 带薪年假,"['Selenium', '自动化测试']",8k-15k
本科,创世云（厦门）信息科技有限公司,厦门,3-5年,"大牛同事,发展空间,薪酬福利","['云计算', '移动互联网', '自动化', '性能测试', 'Server端测试']",10k-20k
本科,美的置业集团有限公司,佛山,3-5年,五险一金 车补房补 绩效奖金 发展平台大,"['移动互联网', '测试', '自动化', '功能测试', '性能测试']",15k-25k
本科,上海秦苍信息科技有限公司,上海,1-3年,"扁平化管理,技术大牛,商业保险","['Selenium', '自动化测试']",8k-15k
本科,金蝶软件（中国）有限公司,深圳,3-5年,大平台发展机遇广福利待遇好团队氛围好,"['测试开发', '自动化']",10k-20k
本科,万兴科技集团股份有限公司,深圳,5-10年,上市公司，机会多，成长快，团队氛围好,"['软件测试', '自动化测试']",15k-20k
本科,北京市商汤科技开发有限公司,深圳,不限,福利待遇优厚，职位发展前景好，学习机会多,"['测试', '自动化']",18k-23k
本科,曜立科技（北京）有限公司,北京,1-3年,工作时间弹性、五险一金、交通补助。,"['测试', '性能测试', '功能测试']",12k-15k
本科,北京默契破冰科技有限公司,北京,3-5年,"七险一金,弹性不打卡,免费午餐,季度旅游","['移动端', '自动化', 'app测试']",15k-25k
本科,上海阑途信息技术有限公司,上海,3-5年,地铁周边，千人规模，技术大牛，行业独角兽,"['电商', '移动互联网', 'Web测试', '自动化测试', '测试开发', '软件测试']",10k-17k
本科,微诺（深圳）科技有限公司,深圳,3-5年,结构扁平 福利好 技术氛围浓厚,"['金融', '自动化', '测试']",15k-25k
本科,深圳市必提学院教育科技有限公司,深圳,不限,"创业公司,晋升空间大,奖金丰厚","['测试', '白盒测试']",9k-18k
薪资,学历,工作年限,公司名称,工作标签,城市,福利
15k-22k,本科,3-5年,北京捷越联合信息咨询有限公司,"['自动化', 'Jmeter']",北京,六险一金 弹性打卡 零食水果
15k-30k,本科,3-5年,北京摩拜科技有限公司,['测试'],北京,"大厂,技术导向,摩拜任性骑"
8k-15k,本科,1-3年,北京联龙博通电子商务技术有限公司,"['自动化', '测试']",杭州,带薪年假、餐补、 交补、五险一金
8k-15k,本科,不限,莫度英睿（杭州）信息科技有限公司,"['云计算', '大数据', '测试', '自动化', '测试开发', '产品测试']",杭州,优质工作环境、工作时间灵活、福利待遇好
10k-16k,本科,3-5年,用友网络科技股份有限公司,"['电商', '测试', '自动化']",北京,发展前景，福利待遇
10k-15k,本科,1-3年,北京北森云计算股份有限公司,"['测试', '自动化', '脚本']",南京,八险一金 年底双薪 节日福利 技术大牛
8k-16k,本科,3-5年,深圳市新类型科技有限公司,['自动化'],深圳,数据开发
25k-40k,本科,5-10年,凡普金科集团有限公司,"['测试', '自动化', '性能测试', '测试开发']",北京,六险一金，早10晚7，技术氛围好
20k-30k,本科,5-10年,玖富数科科技集团有限责任公司,"['互联网金融', '银行', '测试', '自动化']",北京,大平台 扁平管理 六险一金
8k-14k,大专,1-3年,维恩贝特科技有限公司,"['测试', 'Selenium', '自动化']",深圳,"六险一金,年终奖金,专业培训,福利多多"
9k-12k,本科,5-10年,活跃网络（成都）有限公司,"['体育', '移动互联网', '测试', 'Web测试', '功能测试', '自动化']",西安,美资外企，带薪休假，弹性工作，英语环境
9k-15k,不限,5-10年,武汉辉远信毅科技有限公司,"['移动端', '网页', 'Jmeter', '自动化测试']",武汉,教育行业，完善的内部培训体系
12k-17k,本科,不限,信必优(深圳)信息技术有限公司,"['Web测试', '自动化', '性能测试']",深圳,"福利好,补充医疗险,外企,年底双薪"
18k-35k,不限,5-10年,上海华钦信息科技股份有限公司,['自动化'],上海,"六险一金,年终奖,带薪年假"
15k-20k,本科,3-5年,北京拉勾网络技术有限公司,"['测试', 'Android测试', 'IOS测试', 'Server端测试']",北京,福利好
薪资,学历,工作年限,公司名称,工作标签,城市,福利
8k-10k,本科,1-3年,亿达信息技术（深圳）有限公司,"['测试', '自动化']",成都,六险一金 年底双薪 加班补助 带薪年假
7k-13k,本科,1-3年,杭州雅顾科技有限公司,"['企业服务', '工具软件', 'Selenium', 'Jmeter', '自动化', '自动化测试']",杭州,超速发展中 行业前景好 六险一金
18k-26k,本科,5-10年,上海华钦信息科技股份有限公司,"['测试', 'Selenium', '自动化']",上海,五险一金
20k-30k,本科,5-10年,北京汇通天下物联科技有限公司,['自动化'],北京,智慧物联领头羊、高大上办公环境
10k-15k,本科,3-5年,西安麻花网络技术有限公司,"['测试', '自动化', '脚本', '测试开发']",成都,周末双休、五险一金、大平台
9k-16k,不限,3-5年,浙江东经科技股份有限公司,"['自动化测试', '测试', '软件测试']",杭州,法定节假日、住房津贴、五险一金
10k-15k,本科,应届毕业生,浙江每日互动网络科技股份有限公司,"['测试', 'Windows测试', 'Web测试']",杭州,扁平化管理 上市公司 带薪休假
10k-20k,本科,1-3年,北京夜神数娱科技有限公司,"['移动端', '自动化', '性能测试']",北京,"导师跟班,气氛活跃,境外旅游,福利多多"
8k-15k,本科,1-3年,易玩（上海）网络科技有限公司,"['游戏', '移动互联网', 'Android测试', 'IOS测试', 'Server端测试', '客户端']",上海,"知名团队,共同发展,福利好"
20k-30k,本科,5-10年,北京四方启点科技有限公司,"['移动互联网', '测试', '自动化']",北京,"福利佳,待遇好,美女如云,地铁周边"
10k-20k,本科,3-5年,浙江达摩网络科技有限公司,['自动化测试'],杭州,"五险一金,福利多多,健身房福利"
15k-20k,本科,3-5年,上海商涌网络科技有限公司,"['保险', '大数据', '自动化', '测试', '测试开发']",上海,"学习成长快,团队氛围好,发展空间大,新兴行业"
8k-16k,本科,3-5年,北大医疗信息技术有限公司,"['测试', '移动端']",北京,"五险一金,商业保险,餐补,年终奖"
12k-22k,本科,1-3年,奥解思信息科技（上海）有限公司,"['互联网金融', '银行', '自动化测试', '测试开发']",上海,外企13薪 社保公积金全额缴纳
17k-34k,本科,3-5年,上海骞云信息科技有限公司,"['云计算', '自动化', '测试']",上海,"扁平化管理,团建旅游,带薪休假,五险一金"
薪资,学历,工作年限,公司名称,工作标签,城市,福利
12k-17k,本科,1-3年,上海华钦信息科技股份有限公司,['Selenium'],上海,年终奖 六险一金 14天年假 定期体检
10k-15k,本科,1-3年,北京小年糕互联网技术有限公司,"['自动化', '脚本', '测试开发']",北京,福利待遇 一日三餐 工作氛围
10k-20k,本科,不限,浙江天垂科技有限公司,"['脚本', '自动化']",杭州,"技术氛围好,发展空间大,弹性工作"
15k-25k,本科,5-10年,思凯思特（北京）科技有限公司,"['证券/期货', '测试', '自动化']",深圳,上市公司，核心项目，福利多多，不做加班狗
15k-20k,本科,3-5年,北京易数科技有限公司,"['产品测试', '测试开发', '自动化']",杭州,领导nice 技术大牛 上升空间
8k-15k,本科,1-3年,深圳杰睿联科技有限公司,"['功能测试', '性能测试', '自动化']",深圳,"充分授权,前沿行业,充足预算,成长空间大"
8k-15k,本科,1-3年,深圳市赢时胜信息技术股份有限公司,['测试'],长沙,"绩效奖金,年终奖金,股权激励"
15k-30k,本科,3-5年,狮桥融资租赁（中国）有限公司,['自动化'],北京,五险一金，免费水果，团队建设
15k-25k,本科,3-5年,四川迅游网络科技股份有限公司,"['Selenium', 'Rft', '自动化']",成都,六险一金，餐补，带薪年假，年度体检
8k-15k,本科,3-5年,深圳市穗彩科技开发有限公司,"['性能测试', '自动化']",深圳,自动化测试，Python，前沿技术
15k-30k,大专,3-5年,北京瑞达恒建筑咨询有限公司广州分公司,"['性能测试', '测试开发', '自动化测试', '测试']",上海,注重培训和发展、福利薪酬完善、氛围好
15k-20k,本科,3-5年,北京金堤科技有限公司,"['移动互联网', '测试']",北京,"精湛的团队,超牛的技术,超棒的领导"
25k-35k,本科,5-10年,凡普金科集团有限公司,"['测试', '自动化']",北京,六险一金，早10晚7，技术氛围好
10k-15k,本科,3-5年,中和农信项目管理有限公司,"['测试', '自动化']",长沙,年底多薪 七险一金 弹性工作
14k-20k,本科,3-5年,深圳市同为数码科技股份有限公司,"['测试', '自动化测试']",深圳,上市公司五险一金节日福利晋升空间
薪资,学历,工作年限,公司名称,工作标签,城市,福利
16k-25k,本科,3-5年,上海华钦信息科技股份有限公司,"['金融', '自动化测试', '脚本']",上海,外资自动化测试 java或者python
15k-30k,本科,3-5年,上海汇翼信息科技有限公司,"['脚本', 'Selenium', '自动化测试']",杭州,阿里云、团队优秀、定位明确
15k-25k,大专,3-5年,北京昱新科技有限公司,"['教育', '自动化测试']",北京,五险一金，带薪年假，福利多多，晋升空间大
15k-25k,本科,3-5年,北京默契破冰科技有限公司,"['测试', '自动化']",北京,"七险一金,免费午餐,弹性不打卡,季度旅游"
30k-50k,本科,3-5年,北京读我科技有限公司,"['自动化', '测试开发']",北京,产品好、福利好
20k-40k,本科,3-5年,北京梧桐车联科技有限责任公司,"['测试', '自动化']",北京,地铁周边、带薪年假、扁平管理、不打卡
10k-15k,本科,1-3年,北京瑞莱智慧科技有限公司,"['自动化', '测试开发', '测试']",北京,发展前景、朝阳行业
10k-20k,本科,1-3年,深圳航天智慧城市系统技术研究院有限公司,"['地图', '大数据', '自动化', '性能测试']",深圳,"五险一金,股权收益,高温补贴,企业培训"
8k-14k,本科,1-3年,成都冰鉴信息科技有限公司,['自动化'],南京,"金融高科技,新兴领域,发展空间大"
25k-35k,本科,3-5年,空中云汇（上海）网络科技有限公司,['自动化'],上海,高速成长型公司
15k-20k,本科,3-5年,上海微创软件股份有限公司,"['汽车', '自动化测试']",上海,福利待遇好、发展空间大
8k-11k,大专,1-3年,青岛易联万家科技有限公司南京分公司,[],南京,五险一金，三节福利，不定期团建
18k-30k,本科,5-10年,凡普金科集团有限公司,"['测试开发', '自动化', '测试']",北京,发展空间，团队成员背景，学习氛围
15k-25k,本科,3-5年,精硕科技（北京）股份有限公司,"['测试', 'Selenium', '自动化']",上海,扁平管理 行业领先 氛围轻松
10k-20k,本科,3-5年,深圳市天杭科技有限公司,['自动化'],深圳,福利待遇好、区块链
薪资,学历,工作年限,公司名称,工作标签,城市,福利
10k-20k,本科,1-3年,北京默契破冰科技有限公司,"['社交', '移动互联网', 'Selenium', '自动化测试', 'Loadrunner', '移动端']",北京,七险一金、弹性不打卡、免费午餐、季度旅游
10k-20k,本科,1-3年,上海微创软件股份有限公司,"['自动化测试', '脚本', '性能测试', '测试开发']",上海,人工智能、平台好
19k-28k,本科,3-5年,上海欢兽实业有限公司,"['电商', '自动化测试', '测试开发', 'app测试']",上海,"扁平化管理,平台大,奖金多,15薪"
18k-25k,本科,3-5年,深圳复临信息科技有限公司,"['自动化', 'Selenium', '自动化测试']",深圳,五险一金 周末双休 年度体检 下午茶
10k-18k,本科,1-3年,杭州顶天网络有限公司,"['产品测试', 'app测试', '自动化']",杭州,"海量用户,Top20,全员持股"
15k-30k,本科,5-10年,珠海随变科技有限公司,"['电商', '自动化', '测试开发', '性能测试']",北京,"盈利平台,首家C2M,技术分享,活跃团队"
10k-18k,本科,1-3年,深圳市万普拉斯科技有限公司,"['自动化', '测试', 'Android测试']",深圳,弹性工作 开放氛围 发展机会
10k-15k,本科,1-3年,浙江海高控股集团有限公司,"['测试', '自动化', 'Selenium']",杭州,加班少 待遇好
11k-18k,本科,1-3年,广州钛动科技有限公司,"['移动互联网', '测试开发', '自动化', '自动化测试']",广州,"福利好,领导好,上升空间,快速成长"
12k-15k,本科,3-5年,信必优(深圳)信息技术有限公司,"['新零售', '企业服务', '脚本', 'Selenium', 'app测试', 'Web测试']",深圳,世界500强 外企 大牛多 有前途
15k-30k,本科,3-5年,北京微聚未来科技有限公司,"['自动化', '白盒测试']",北京,"牛人团队,带薪年假,16薪考核,快速成长"
9k-14k,本科,3-5年,四川倍施特科技股份有限公司,"['自动化', '性能测试', '功能测试']",成都,"社会保险,住房公积金,年终奖,团队活动"
15k-25k,本科,5-10年,慧博云通（江苏）软件技术有限公司,"['Server端测试', '性能测试', '测试开发', '自动化']",广州,不加班，假期多，平台大，领导nice
